Size,Algorithm,Scenario,Theoretical_ns,Measured_ns
1000,V1,Found,60,927
1000,V1,NotFound,60,880
1000,V2,Found,60,718
1000,V2,NotFound,60,528
1000,V3,Found,60,520
1000,V3,NotFound,60,753
2000,V1,Found,66,779
2000,V1,NotFound,66,819
2000,V2,Found,66,854
2000,V2,NotFound,66,941
2000,V3,Found,66,963
2000,V3,NotFound,66,1157
4000,V1,Found,72,474
4000,V1,NotFound,72,522
4000,V2,Found,72,808
4000,V2,NotFound,72,889
4000,V3,Found,72,625
4000,V3,NotFound,72,1082
8000,V1,Found,78,1026
8000,V1,NotFound,78,698
8000,V2,Found,78,729
8000,V2,NotFound,78,847
8000,V3,Found,78,1156
8000,V3,NotFound,78,977
16000,V1,Found,84,956
16000,V1,NotFound,84,936
16000,V2,Found,84,958
16000,V2,NotFound,84,1125
16000,V3,Found,84,1002
16000,V3,NotFound,84,1212
32000,V1,Found,90,1122
32000,V1,NotFound,90,1310
32000,V2,Found,90,859
32000,V2,NotFound,90,875
32000,V3,Found,90,1284
32000,V3,NotFound,90,1454
64000,V1,Found,96,952
64000,V1,NotFound,96,868
64000,V2,Found,96,986
64000,V2,NotFound,96,976
64000,V3,Found,96,1113
64000,V3,NotFound,96,1193
128000,V1,Found,102,700
128000,V1,NotFound,102,974
128000,V2,Found,102,1151
128000,V2,NotFound,102,1087
128000,V3,Found,102,1506
128000,V3,NotFound,102,1199
