Size,Algorithm,Scenario,Theoretical_ns,Measured_ns
1000,V1,Found,60,422
1000,V1,NotFound,60,450
1000,V2,Found,60,241
1000,V2,NotFound,60,234
1000,V3,Found,60,276
1000,V3,NotFound,60,301
2000,V1,Found,66,244
2000,V1,NotFound,66,243
2000,V2,Found,66,256
2000,V2,NotFound,66,247
2000,V3,Found,66,287
2000,V3,NotFound,66,322
4000,V1,Found,72,336
4000,V1,NotFound,72,309
4000,V2,Found,72,304
4000,V2,NotFound,72,293
4000,V3,Found,72,504
4000,V3,NotFound,72,510
8000,V1,Found,78,338
8000,V1,NotFound,78,349
8000,V2,Found,78,336
8000,V2,NotFound,78,331
8000,V3,Found,78,407
8000,V3,NotFound,78,439
16000,V1,Found,84,461
16000,V1,NotFound,84,414
16000,V2,Found,84,304
16000,V2,NotFound,84,301
16000,V3,Found,84,404
16000,V3,NotFound,84,442
32000,V1,Found,90,349
32000,V1,NotFound,90,357
32000,V2,Found,90,341
32000,V2,NotFound,90,492
32000,V3,Found,90,457
32000,V3,NotFound,90,478
64000,V1,Found,96,362
64000,V1,NotFound,96,375
64000,V2,Found,96,410
64000,V2,NotFound,96,407
64000,V3,Found,96,1459
64000,V3,NotFound,96,835
128000,V1,Found,102,350
128000,V1,NotFound,102,379
128000,V2,Found,102,405
128000,V2,NotFound,102,355
128000,V3,Found,102,704
128000,V3,NotFound,102,622
